route_id,airport,route_type,waypoints
TTT,KDFW,ARRIVAL,"[(32.86916111111111, -97.04050277777777), (32.897333333333336, -97.03769444444444)]"
TTT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.86916111111111, -97.04050277777777)]"
BOOVE,KDFW,ARRIVAL,"[(32.382600000000004, -97.62483888888889), (32.897333333333336, -97.03769444444444)]"
CLARE,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.760975, -96.33213611111111)]"
CQY CQY9,KDFW,ARRIVAL,"[(32.18572222222222, -96.21810277777777), (32.897333333333336, -97.03769444444444)]"
EMG CQY9,KDFW,ARRIVAL,"[(32.40040555555555, -93.59514722222222), (32.897333333333336, -97.03769444444444)]"
FZT CQY9,KDFW,ARRIVAL,"[(32.07460555555556, -95.53079166666667), (32.897333333333336, -97.03769444444444)]"
GGG CQY9,KDFW,ARRIVAL,"[(32.384, -94.7115), (32.897333333333336, -97.03769444444444)]"
LOA CQY1,KDFW,ARRIVAL,"[(31.124016666666666, -95.96795555555556), (32.897333333333336, -97.03769444444444)]"
LOA CQY9,KDFW,ARRIVAL,"[(31.124016666666666, -95.96795555555556), (32.897333333333336, -97.03769444444444)]"
TEX8 OKM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.69325, -95.86595555555554)]"
TEX9 ADM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.30387222222222, -97.02059722222222)]"
TEX9 IRW,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.35859722222222, -97.60922777777778)]"
TEX9 OKM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.69325, -95.86595555555554)]"
TEX9 OKM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.66811111111111, -95.94852777777778)]"
TEX9 TUL,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (36.19839444444444, -95.88810555555557)]"
UIM CQY9,KDFW,ARRIVAL,"[(32.88048055555556, -95.36689166666666), (32.897333333333336, -97.03769444444444)]"
UKW UKW5,KDFW,ARRIVAL,"[(33.53588611111111, -97.82127777777778), (33.53588611111111, -97.82127777777778), (32.897333333333336, -97.03769444444444)]"
DALL4 ELD,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.22123888888889, -92.81175)]"
DALL5 SQS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.46385, -90.27735)]"
DALL5 UIM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.88048055555556, -95.36689166666666)]"
DALL8 EIC,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.771363888888885, -93.80993055555555)]"
DALL8 LIT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.729441666666666, -92.22477777777777)]"
DALL8 TXK,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.51388055555555, -94.07324166666666)]"
GARL6 GGG,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.41775555555555, -94.75319444444445)]"
GARL6 TXK,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.51388055555555, -94.07324166666666)]"
GARL6 UIM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.88048055555556, -95.36689166666666)]"
GARL7 TXK,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.51388055555555, -94.07324166666666)]"
GARL8 TYR,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.35586666666667, -95.40346666666667)]"
GARL9 GGG,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.41775555555555, -94.75319444444445)]"
GARL9 TXK,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.51388055555555, -94.07324166666666)]"
GARL9 TYR,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.353547222222225, -95.40297777777778)]"
HUBB1 TXK,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.51388055555555, -94.07324166666666)]"
HUBB9 TXK,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.51388055555555, -94.07324166666666)]"
HUBB9 TYR,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.353547222222225, -95.40297777777778)]"
HUBB9 UIM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.88048055555556, -95.36689166666666)]"
KING6 LBB,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.663666666666664, -101.82055555555556)]"
KING7 SPS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.98728888888889, -98.59347222222222)]"
KING8 MQP,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.72618055555556, -97.99744166666667)]"
KING9 LBB,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.704950000000004, -101.91401111111112)]"
KING9 MQP,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.72618055555556, -97.99744166666667)]"
KING9 SPS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.9888, -98.49190277777778)]"
KING9 SPS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.98728888888889, -98.59347222222222)]"
AKUNA9 MLC,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.78270833333333, -96.99513888888889), (32.7651, -96.93934166666666), (32.768791666666665, -96.83155277777777), (32.858775, -96.80919444444444), (32.98796111111111, -96.80902499999999), (33.45068888888889, -96.82313888888889), (34.06664722222222, -96.42598055555555), (34.84944166666667, -95.78234444444445)]"
ARDIA7 CLL,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.70772222222222, -97.03014722222223), (32.60811944444445, -96.97913333333334), (32.55008333333333, -96.97188888888888), (32.28507222222222, -96.93786666666666), (31.708116666666665, -96.83791666666666), (30.605027777777778, -96.42068055555556)]"
BLECO8 IRW,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.78270833333333, -96.99513888888889), (32.7651, -96.93934166666666), (32.768791666666665, -96.83155277777777), (32.858775, -96.80919444444444), (32.98796111111111, -96.80902499999999), (33.45075, -97.10905277777778), (34.38383611111111, -96.99002777777778), (35.35859722222222, -97.60922777777778)]"
BYP WILBR6,KDFW,ARRIVAL,"[(33.53748611111111, -96.23409444444445), (32.897333333333336, -97.03769444444444)]"
CQY YEAGR4,KDFW,ARRIVAL,"[(32.18572222222222, -96.21810277777777), (32.562155555555556, -96.33174444444444), (32.897333333333336, -97.03769444444444)]"
CYOTE2 ABI,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.41133333333333, -99.68188888888889)]"
CYOTE2 CDS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.36906388888889, -100.28902777777778)]"
CYOTE2 CDS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.43377777777778, -100.288)]"
CYOTE2 CNX,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.367016666666665, -105.67800555555556)]"
CYOTE2 MQP,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.72618055555556, -97.99744166666667)]"
CYOTE2 PNH,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.235061111111115, -101.69903055555555)]"
CYOTE2 TXO,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.49512777777778, -102.83966388888888)]"
DARTZ8 TNV,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.70772222222222, -97.03014722222223), (32.60811944444445, -96.97913333333334), (32.56971111111111, -96.96035277777779), (32.28575555555555, -96.81105), (31.886516666666665, -96.65582222222223), (31.52038611111111, -96.51471111111111), (31.164513888888887, -96.38156111111111), (30.28852777777778, -96.05823888888888)]"
GRABE8 OKM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.78270833333333, -96.99513888888889), (32.7651, -96.93934166666666), (32.768791666666665, -96.83155277777777), (32.858775, -96.80919444444444), (32.98796111111111, -96.80902499999999), (33.451458333333335, -96.96152777777777), (34.31742222222223, -96.61986666666667), (35.69325, -95.86595555555554)]"
JPOOL1 CLL,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (30.588041666666665, -96.36254444444444)]"
JPOOL2 ACT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (31.612194444444444, -97.23030555555556)]"
JPOOL3 SAT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (29.533958333333334, -98.46905833333334)]"
KEENE3 ACT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (31.612194444444444, -97.23030555555556)]"
KEENE3 ACT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (31.662305555555555, -97.26901388888889)]"
LOWGN8 ADM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.78270833333333, -96.99513888888889), (32.7651, -96.93934166666666), (32.768791666666665, -96.83155277777777), (32.858775, -96.80919444444444), (32.98796111111111, -96.80902499999999), (33.45075, -97.24980277777777), (34.21158611111112, -97.16822777777779)]"
NAVYS CQY9,KDFW,ARRIVAL,"[(31.388180555555554, -96.31368333333333), (32.897333333333336, -97.03769444444444)]"
NELYN6 ACT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.70772222222222, -97.03014722222223), (32.60811944444445, -96.97913333333334), (32.55676666666666, -97.01210555555555), (32.28496111111111, -97.18591111111111), (31.662305555555555, -97.26901388888889)]"
NELYN6 SAT,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.70772222222222, -97.03014722222223), (32.60811944444445, -96.97913333333334), (32.55676666666666, -97.01210555555555), (32.28496111111111, -97.18591111111111), (31.662305555555555, -97.26901388888889), (31.259522222222223, -97.45839722222223), (30.577188888888887, -97.77530555555555), (29.644030555555556, -98.46131666666668)]"
TEX8 EAKER,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.31742222222223, -96.61986666666667)]"
TEX9 ROLLS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.722744444444444, -99.47069722222223)]"
TEX9 ZEMMA,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.38383611111111, -96.99002777777778)]"
TGATE4 OKM,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.66811111111111, -95.94852777777778)]"
WORTH4 CDS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.36906388888889, -100.28902777777778)]"
WORTH6 ABI,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.41133333333333, -99.68188888888889)]"
WORTH6 ABI,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.48133055555556, -99.86345277777777)]"
WORTH6 CDS,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.36906388888889, -100.28902777777778)]"
WORTH6 CNX,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.367016666666665, -105.67800555555556)]"
WORTH6 LBB,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.663666666666664, -101.82055555555556)]"
WORTH6 MQP,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.72618055555556, -97.99744166666667)]"
WORTH6 TXO,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (34.49512777777778, -102.83966388888888)]"
WORTH7 PNH,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (35.235061111111115, -101.69903055555555)]"
WYLIE9 ELD,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (33.22123888888889, -92.81175)]"
DALL8 SOLDO,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.86527777777778, -96.33231111111111)]"
GARL9 SOLDO,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.86527777777778, -96.33231111111111)]"
HUBB9 SOLDO,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.86527777777778, -96.33231111111111)]"
ARDIA7 ELLVR,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.70772222222222, -97.03014722222223), (32.60811944444445, -96.97913333333334), (32.55008333333333, -96.97188888888888), (32.28507222222222, -96.93786666666666), (31.708116666666665, -96.83791666666666)]"
BEREE WHINY4,KDFW,ARRIVAL,"[(32.27708611111111, -96.32570555555556), (32.319322222222226, -96.379375), (32.38506666666667, -96.4452), (32.49239166666667, -96.67379166666667), (32.499833333333335, -96.80053333333333), (32.897333333333336, -97.03769444444444)]"
BOOVE BOOVE5,KDFW,ARRIVAL,"[(32.382600000000004, -97.62483888888889), (32.434688888888886, -97.56551944444445), (32.57273888888889, -97.40781944444446), (32.668638888888886, -97.29787777777777), (32.781927777777774, -97.16772222222222), (32.99619166666667, -97.16507777777778), (33.197125, -97.16280555555556), (32.897333333333336, -97.03769444444444)]"
BOOVE SOCKK4,KDFW,ARRIVAL,"[(32.382600000000004, -97.62483888888889), (32.47698333333334, -97.51728333333334), (32.499125, -97.28233333333333), (32.897333333333336, -97.03769444444444)]"
BOOVE ZROBA1,KDFW,ARRIVAL,"[(32.382600000000004, -97.62483888888889), (32.50866944444444, -97.48109722222222), (32.58761666666667, -97.44898611111111), (32.897333333333336, -97.03769444444444)]"
BRDJE SEEVR4,KDFW,ARRIVAL,"[(33.32655277777778, -96.42285555555556), (33.287175, -96.56324722222222), (33.2743, -96.84026944444444), (32.897333333333336, -97.03769444444444)]"
CHMLI SEEVR4,KDFW,ARRIVAL,"[(34.212186111111116, -95.4998638888889), (34.08999166666667, -95.62181388888888), (33.961650000000006, -95.74920555555556), (33.83304444444445, -95.87782499999999), (33.44625, -96.25799444444445), (33.32655277777778, -96.42285555555556), (33.287175, -96.56324722222222), (33.2743, -96.84026944444444), (32.897333333333336, -97.03769444444444)]"
CRIED BEREE1,KDFW,ARRIVAL,"[(31.35396666666667, -95.66163888888889), (31.841791666666666, -96.01080555555555), (31.99276388888889, -96.11970833333332), (32.27708611111111, -96.32570555555556), (32.486666666666665, -96.56666666666666), (32.56666666666667, -96.65833333333335), (32.65833333333333, -96.76166666666667), (32.79333333333333, -96.915), (32.991166666666665, -96.91372777777778), (33.19608333333333, -96.91240833333335), (32.897333333333336, -97.03769444444444)]"
DARTZ8 BILEE,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.70772222222222, -97.03014722222223), (32.60811944444445, -96.97913333333334), (32.56971111111111, -96.96035277777779), (32.28575555555555, -96.81105), (31.886516666666665, -96.65582222222223), (31.52038611111111, -96.51471111111111), (31.164513888888887, -96.38156111111111)]"
DODJE FORNY3,KDFW,ARRIVAL,"[(32.284416666666665, -96.58295277777778), (32.409166666666664, -96.69833333333334), (32.43333333333333, -96.82777777777777), (32.897333333333336, -97.03769444444444)]"
FAWNT JOVEM4,KDFW,ARRIVAL,"[(34.187925, -97.57435833333334), (33.96924444444445, -97.59283611111111), (33.88257222222222, -97.60010833333332), (33.634683333333335, -97.62088333333332), (33.384, -97.64171111111112), (33.27838888888889, -97.5176), (33.12219722222222, -97.33484999999999), (32.98148055555556, -97.17081111111112), (32.799477777777774, -97.16080000000001), (32.594008333333335, -97.16080000000001), (32.897333333333336, -97.03769444444444)]"
FAWNT VKTRY2,KDFW,ARRIVAL,"[(34.187925, -97.57435833333334), (33.96924444444445, -97.59283611111111), (33.88257222222222, -97.60010833333332), (33.634683333333335, -97.62088333333332), (33.384, -97.64171111111112), (33.271991666666665, -97.45990555555557), (33.11365277777778, -97.29380555555555), (33.06472222222222, -97.24319444444444), (33.00299444444445, -97.17941944444445), (32.897333333333336, -97.03769444444444)]"
FEWWW BRDJE3,KDFW,ARRIVAL,"[(34.19569444444444, -93.90229166666667), (33.81010833333333, -95.14005833333334), (33.7498, -95.32901388888888), (33.59493611111111, -95.80621111111111), (33.44625, -96.25799444444445), (33.32655277777778, -96.42285555555556), (33.275, -96.49514722222223), (33.18119444444444, -96.6190111111111), (33.07370277777778, -96.76625833333334), (32.97284722222222, -96.90284444444445), (32.79675833333333, -96.91572500000001), (32.59395277777778, -96.91572500000001), (32.897333333333336, -97.03769444444444)]"
FEWWW SEEVR4,KDFW,ARRIVAL,"[(34.19569444444444, -93.90229166666667), (33.81010833333333, -95.14005833333334), (33.7498, -95.32901388888888), (33.68986111111111, -95.51510555555555), (33.62916388888889, -95.70158333333333), (33.44625, -96.25799444444445), (33.32655277777778, -96.42285555555556), (33.287175, -96.56324722222222), (33.2743, -96.84026944444444), (32.897333333333336, -97.03769444444444)]"
FORCK2 FORCK,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.99653333333333, -94.26981666666667)]"
GEEKY SOCKK4,KDFW,ARRIVAL,"[(32.27953333333333, -99.88386111111112), (32.325630555555556, -98.97429444444445), (32.342844444444445, -98.60182499999999), (32.37148888888889, -97.91293055555556), (32.37537777777778, -97.81415833333332), (32.382600000000004, -97.62483888888889), (32.47698333333334, -97.51728333333334), (32.499125, -97.28233333333333), (32.897333333333336, -97.03769444444444)]"
GRABE8 EAKER,KDFW,DEPARTURE,"[(32.897333333333336, -97.03769444444444), (32.78270833333333, -96.99513888888889), (32.7651, -96.93934166666666), (32.768791666666665, -96.83155277777777), (32.858775, -96.80919444444444), (32.98796111111111, -96.80902499999999), (33.451458333333335, -96.96152777777777), (34.31742222222223, -96.61986666666667)]"
GREGS GIBBI2,KDFW,ARRIVAL,"[(33.450608333333335, -97.46605555555556), (33.298988888888886, -97.312975), (33.158655555555555, -97.17208333333333), (32.897333333333336, -97.03769444444444)]"
GREGS SHAAM2,KDFW,ARRIVAL,"[(33.450608333333335, -97.46605555555556), (33.37291666666667, -97.38824166666667), (33.36103333333333, -97.28934166666666), (32.897333333333336, -97.03769444444444)]"
GUTZZ BOOVE5,KDFW,ARRIVAL,"[(31.412452777777776, -98.13900833333334), (31.651827777777775, -98.10303888888889), (31.86651666666667, -97.95593333333333), (32.15926666666667, -97.76236666666667), (32.23171111111111, -97.71394166666667), (32.382600000000004, -97.62483888888889), (32.434688888888886, -97.56551944444445), (32.57273888888889, -97.40781944444446), (32.668638888888886, -97.29787777777777), (32.781927777777774, -97.16772222222222), (32.99619166666667, -97.16507777777778), (33.197125, -97.16280555555556), (32.897333333333336, -97.03769444444444)]"
GUTZZ SOCKK4,KDFW,ARRIVAL,"[(31.412452777777776, -98.13900833333334), (31.44676388888889, -98.13430000000001), (31.651827777777775, -98.10303888888889), (32.15926666666667, -97.76236666666667), (32.23171111111111, -97.71394166666667), (32.382600000000004, -97.62483888888889), (32.47698333333334, -97.51728333333334), (32.499125, -97.28233333333333), (32.897333333333336, -97.03769444444444)]"
HITUG BRDJE3,KDFW,ARRIVAL,"[(35.912572222222224, -95.48881388888888), (34.98881388888889, -95.31203611111111), (34.47033888888889, -95.24031388888889), (34.212186111111116, -95.4998638888889), (34.08999166666667, -95.62181388888888), (33.76021111111111, -95.94912777777778), (33.44625, -96.25799444444445), (33.32655277777778, -96.42285555555556), (33.275, -96.49514722222223), (33.18119444444444, -96.6190111111111), (33.07370277777778, -96.76625833333334), (32.97284722222222, -96.90284444444445), (32.79675833333333, -96.91572500000001), (32.59395277777778, -96.91572500000001), (32.897333333333336, -97.03769444444444)]"
