observation_id,route_id,timestamp
0,LFK2 LFK,2020-05-08 14:01:17+00:00
1,IDU9 IDU,2020-09-13 19:18:36+00:00
2,MMUGS4 GUSTI,2020-06-22 16:31:06+00:00
3,LOA4 BYP,2020-06-25 11:36:22+00:00
4,RITAA6 PSX,2020-07-25 11:02:13+00:00
5,CYOTE2 PNH,2020-04-06 15:05:05+00:00
6,CYOTE2 TXO,2020-08-18 11:53:33+00:00
7,SBI,2020-07-25 17:01:54+00:00
8,ELMAA3 CVO,2020-09-05 22:56:31+00:00
9,CYOTE2 PNH,2020-08-03 11:38:45+00:00
10,BNDTO5 CRGER,2020-03-04 16:24:52+00:00
11,MMUGS4 GUSTI,2020-07-28 14:53:38+00:00
12,CYOTE2 PNH,2020-04-07 15:09:03+00:00
13,MMUGS4 GUSTI,2020-12-13 19:22:13+00:00
14,HOODO7 LEV,2020-08-28 22:57:58+00:00
15,MRSSH2 ZALEA,2020-12-11 12:11:38+00:00
16,MMUGS4 GUSTI,2020-01-18 17:18:22+00:00
17,TTT285 FERRA,2020-03-04 15:31:31+00:00
18,CYOTE2 TXO,2020-03-03 12:33:05+00:00
19,BNDTO5 MNURE,2020-03-20 14:33:54+00:00
20,MMUGS4 GUSTI,2020-08-01 13:24:49+00:00
21,LCH5 LSU,2020-05-27 22:47:05+00:00
22,CYOTE2 TXO,2020-10-23 14:00:55+00:00
23,STYCK8 STYCK,2020-08-28 20:54:46+00:00
24,CYOTE2 TXO,2020-05-11 11:44:06+00:00
25,MMUGS4 GUSTI,2020-02-12 22:18:02+00:00
26,TTT285 FERRA,2020-03-10 21:14:04+00:00
27,LOA3 LOA,2020-06-25 11:36:22+00:00
28,ELMAA3 CVO,2020-11-01 03:11:57+00:00
29,MRSSH2 ZALEA,2020-01-11 01:14:38+00:00
30,IDU9 JCT,2020-06-23 23:32:00+00:00
31,CYOTE2 PNH,2020-08-18 11:53:33+00:00
32,CYOTE2 TXO,2020-12-03 12:43:25+00:00
33,LCH5 LSU,2020-01-02 21:50:13+00:00
34,CYOTE2 TXO,2020-08-03 11:38:45+00:00
35,ELMAA3 CVO,2020-06-16 20:47:41+00:00
36,RITAA6 WWREN,2020-12-13 13:36:45+00:00
37,TTT285 FERRA,2020-01-24 21:54:51+00:00
38,CYOTE2 PNH,2020-09-16 11:25:18+00:00
39,CYOTE2 TXO,2020-11-30 12:45:36+00:00
40,LOA3 DOLEY,2020-07-31 19:36:23+00:00
41,CYOTE2 PNH,2020-04-29 13:28:36+00:00
42,TTT285 FERRA,2020-02-26 22:43:35+00:00
43,CYOTE2 TXO,2020-12-08 22:28:27+00:00
44,BNDTO5 MNURE,2020-09-04 22:03:57+00:00
45,TTT285 FERRA,2020-11-25 21:36:17+00:00
46,BNDTO5 SAT,2020-12-30 19:40:27+00:00
47,STYCK7 STYCK,2020-08-28 20:52:58+00:00
48,STRYA8 DPATY,2020-08-28 20:54:46+00:00
49,AEX3 AEX,2020-07-31 19:36:23+00:00
50,TTT285 FERRA,2020-07-31 22:09:16+00:00
51,AEX3 AEX,2020-07-31 19:36:14+00:00
52,IDU9 CWK,2020-09-22 10:07:47+00:00
53,CRIED9 CRIED,2020-08-28 20:56:21+00:00
54,CYOTE2 TXO,2020-04-13 15:11:48+00:00
55,CYOTE2 TXO,2020-09-22 12:09:28+00:00
56,LCH5 LCH,2020-06-22 16:31:06+00:00
57,STYCK8 STYCK,2020-07-31 19:38:05+00:00
58,BNDTO5 MARCS,2020-06-23 23:37:01+00:00
59,CYOTE2 TXO,2020-04-29 13:28:36+00:00
60,LCH5 LCH,2020-08-01 13:24:49+00:00
61,MMUGS4 GUSTI,2020-12-13 19:20:56+00:00
62,LOA3 DOLEY,2020-06-25 11:34:00+00:00
63,RITAA6 WWREN,2020-06-22 16:31:59+00:00
64,CYOTE2 PNH,2020-03-10 11:32:13+00:00
65,BNDTO5 SAT,2020-03-04 16:25:34+00:00
66,ELMAA3 CVO,2020-08-28 16:50:48+00:00
67,MMUGS4 GUSTI,2020-08-28 22:55:48+00:00
68,RITAA6 NGP,2020-08-01 13:00:19+00:00
69,CYOTE2 PNH,2020-10-16 12:04:13+00:00
70,PSX2 PSX,2020-06-22 16:32:09+00:00
71,BNDTO5 MARCS,2020-09-13 19:18:16+00:00
72,BNDTO5 SAT,2020-12-30 19:41:32+00:00
73,PSX2 PSX,2020-08-01 13:00:19+00:00
74,HRPER3 HULZE,2020-03-21 22:51:51+00:00
75,IDU9 IDU,2020-03-04 10:19:25+00:00
76,CYOTE2 PNH,2020-02-25 13:15:52+00:00
77,AEX3 AEX,2020-06-25 11:36:22+00:00
78,CYOTE2 TXO,2020-03-05 12:58:54+00:00
79,TTT285 FERRA,2020-05-11 21:15:57+00:00
80,LOA4 BYP,2020-07-31 19:36:14+00:00
81,MMUGS4 GUSTI,2020-12-13 19:45:35+00:00
82,INDIE8 TPAKK,2020-07-31 19:36:23+00:00
83,BNDTO5 MARCS,2020-09-04 18:12:05+00:00
84,CYOTE2 TXO,2020-12-04 12:46:20+00:00
85,BNDTO5 MNURE,2020-01-10 21:01:52+00:00
86,ELD9 ELD,2020-07-31 19:38:05+00:00
87,LOA4 BYP,2020-05-08 14:01:17+00:00
88,MMUGS4 GUSTI,2020-12-13 19:45:35+00:00
89,LCH5 LSU,2020-05-28 16:30:48+00:00
90,MRSSH2 ZALEA,2020-07-06 21:09:15+00:00
91,MMUGS4 GUSTI,2020-07-29 16:22:27+00:00
92,LOA4 LOA,2020-06-25 11:34:00+00:00
93,LOA4 ADM,2020-07-31 19:41:46+00:00
94,LCH5 LCH,2020-01-11 11:03:22+00:00
95,TTT285 FERRA,2020-09-22 20:48:33+00:00
96,INDIE8 TPAKK,2020-08-28 20:52:18+00:00
97,STRYA8 DPATY,2020-06-25 11:34:00+00:00
98,HOODO6 LEV,2020-01-11 17:05:48+00:00
99,IDU9 IDU,2020-09-22 09:53:48+00:00
100,LOA3 LOA,2020-07-31 19:36:14+00:00
101,ELMAA3 CVO,2020-11-06 03:27:41+00:00
102,IDU9 IDU,2020-09-04 18:11:20+00:00
103,SBI,2020-07-28 14:14:00+00:00
104,IDU9 IDU,2020-09-13 19:18:36+00:00
105,STYCK8 WTSON,2020-07-31 19:36:23+00:00
106,CYOTE2 PNH,2020-02-11 13:01:03+00:00
107,BNDTO5 SAT,2020-03-04 16:22:43+00:00
108,CYOTE2 TXO,2020-08-17 11:41:35+00:00
109,CYOTE2 TXO,2020-05-08 11:41:19+00:00
110,CYOTE2 PNH,2020-05-05 11:32:51+00:00
111,CYOTE2 TXO,2020-06-23 18:06:11+00:00
112,INDIE8 TPAKK,2020-06-25 11:36:22+00:00
113,TTT285 FERRA,2020-01-29 23:00:53+00:00
114,IDU9 IDU,2020-03-04 10:19:25+00:00
115,SBI,2020-06-24 11:39:33+00:00
116,STYCK7 DOLEY,2020-08-28 20:54:46+00:00
117,TTT285 FERRA,2020-11-13 22:24:49+00:00
118,LOA4 FUZ,2020-07-31 19:36:23+00:00
119,LCH5 LSU,2020-01-26 11:11:44+00:00
120,TTT285 FERRA,2020-01-06 21:49:47+00:00
121,CYOTE2 TXO,2020-02-28 12:40:16+00:00
122,CYOTE2 TXO,2020-04-07 15:09:03+00:00
123,STYCK8 DOLEY,2020-07-31 19:38:05+00:00
124,SBI,2020-01-11 10:58:37+00:00
125,SBI,2020-08-01 13:22:48+00:00
126,HRPER3 HULZE,2020-05-15 23:03:13+00:00
127,LFK2 LIT,2020-06-25 11:36:22+00:00
128,MMUGS4 GUSTI,2020-01-02 21:50:13+00:00
129,BNDTO5 SAT,2020-03-04 10:20:03+00:00
130,IDU9 IDU,2020-03-20 12:39:12+00:00
131,CYOTE2 PNH,2020-01-08 12:47:42+00:00
132,PSX1 PSX,2020-07-25 11:05:37+00:00
133,CYOTE2 TXO,2020-02-18 12:31:59+00:00
134,CYOTE2 PNH,2020-12-14 13:29:00+00:00
135,SBI,2020-01-11 10:58:37+00:00
136,SBI,2020-08-01 13:22:26+00:00
137,STYCK8 DOLEY,2020-08-28 20:54:46+00:00
138,TTT285 FERRA,2020-05-20 22:43:11+00:00
139,HRPER3 HULZE,2020-06-21 10:37:56+00:00
140,CYOTE2 PNH,2020-09-11 11:31:56+00:00
141,LCH5 LCH,2020-01-26 11:13:51+00:00
142,IDU9 IDU,2020-03-20 14:36:15+00:00
143,RITAA6 PSX,2020-12-13 13:43:53+00:00
144,TTT285 FERRA,2020-12-03 21:15:09+00:00
145,PSX2 PSX,2020-12-13 13:35:04+00:00
146,CYOTE2 TXO,2020-04-06 15:05:05+00:00
147,CYOTE2 PNH,2020-01-30 13:36:02+00:00
148,CYOTE2 PNH,2020-06-23 18:06:11+00:00
149,STYCK8 DOLEY,2020-06-25 11:35:58+00:00
150,IDU9 IDU,2020-06-23 23:30:11+00:00
151,TTT285 FERRA,2020-05-06 21:20:18+00:00
152,ELMAA3 CVO,2020-11-04 04:55:41+00:00
153,INDIE8 TPAKK,2020-06-25 11:31:15+00:00
154,HRPER3 HULZE,2020-03-19 18:55:51+00:00
155,IDU1 JCT,2020-09-04 18:11:00+00:00
156,TTT285 FERRA,2020-12-08 23:27:25+00:00
157,ELMAA3 CVO,2020-03-17 18:42:05+00:00
158,MMUGS4 GUSTI,2020-01-26 12:06:05+00:00
159,MRSSH2 ZALEA,2020-02-11 16:44:35+00:00
160,BNDTO5 MNURE,2020-09-04 22:06:43+00:00
161,SBI,2020-01-18 17:20:58+00:00
162,CYOTE2 TXO,2020-12-14 13:29:00+00:00
163,CYOTE2 TXO,2020-02-10 12:40:16+00:00
164,CYOTE2 TXO,2020-02-26 17:08:33+00:00
165,LCH5 LCH,2020-12-13 19:22:45+00:00
166,CYOTE2 TXO,2020-09-15 11:37:06+00:00
167,TTT285 FERRA,2020-03-20 20:42:14+00:00
168,LOA4 BYP,2020-07-31 19:38:05+00:00
169,IDU9 IDU,2020-09-04 18:13:29+00:00
170,BNDTO5 CRGER,2020-06-23 23:27:09+00:00
171,LFK3 LIT,2020-05-08 13:57:02+00:00
172,TTT285 FERRA,2020-01-23 23:14:07+00:00
173,CYOTE2 TXO,2020-09-16 11:25:18+00:00
174,CYOTE2 PNH,2020-02-26 17:08:33+00:00
175,CYOTE2 TXO,2020-12-07 13:39:16+00:00
176,CYOTE2 TXO,2020-05-29 11:15:31+00:00
177,TTT285 FERRA,2020-10-23 21:42:16+00:00
178,LCH5 LSU,2020-06-22 16:31:59+00:00
179,CYOTE2 PNH,2020-03-03 12:33:05+00:00
180,RITAA6 WWREN,2020-12-13 13:43:53+00:00
181,CRIED9 CRIED,2020-05-08 13:57:02+00:00
182,TTT285 FERRA,2020-10-01 22:20:01+00:00
183,IDU9 CWK,2020-12-30 19:41:58+00:00
184,CYOTE2 PNH,2020-09-21 11:43:25+00:00
185,LFK2 LFK,2020-07-31 19:36:14+00:00
186,RITAA6 WWREN,2020-06-22 16:39:17+00:00
187,CYOTE2 TXO,2020-10-24 11:54:39+00:00
188,CYOTE2 PNH,2020-04-17 14:20:43+00:00
189,RITAA6 PSX,2020-06-24 00:47:27+00:00
190,HRPER3 HULZE,2020-07-15 12:43:04+00:00
191,LCH5 LSU,2020-07-29 16:22:32+00:00
192,CYOTE2 PNH,2020-11-30 12:45:36+00:00
193,TTT285 FERRA,2020-10-19 20:58:47+00:00
194,BNDTO5 SAT,2020-01-10 20:59:56+00:00
195,LOA4 FUZ,2020-06-25 11:36:22+00:00
196,MMUGS4 GUSTI,2020-01-26 12:04:42+00:00
197,LOA3 LOA,2020-08-28 20:52:18+00:00
198,TTT285 FERRA,2020-10-29 20:57:55+00:00
199,CYOTE2 TXO,2020-10-16 12:04:13+00:00
200,CYOTE2 TXO,2020-02-20 13:00:15+00:00
201,CYOTE2 TXO,2020-03-31 14:49:47+00:00
202,IDU9 JCT,2020-09-22 10:06:56+00:00
203,IDU9 JCT,2020-03-20 14:36:15+00:00
204,TTT285 FERRA,2020-01-07 22:25:47+00:00
205,LOA4 FUZ,2020-08-28 20:54:46+00:00
206,LOA4 FUZ,2020-05-08 14:01:17+00:00
207,INDIE7 INDIE,2020-05-08 14:02:46+00:00
208,INDIE7 INDIE,2020-07-31 19:36:14+00:00
209,MMUGS4 GUSTI,2020-07-25 17:04:46+00:00
210,BNDTO5 CRGER,2020-09-04 18:12:05+00:00
211,CYOTE2 TXO,2020-08-27 12:50:09+00:00
212,PSX2 PSX,2020-07-25 11:02:13+00:00
213,STYCK8 STYCK,2020-07-31 19:38:05+00:00
214,RITAA6 WWREN,2020-01-18 17:04:39+00:00
215,CYOTE2 TXO,2020-05-26 12:48:13+00:00
216,CYOTE2 PNH,2020-09-15 11:37:06+00:00
217,PSX2 SAT,2020-12-30 21:05:22+00:00
218,INDIE8 TPAKK,2020-05-08 13:59:37+00:00
219,SBI,2020-02-12 22:16:02+00:00
220,LCH5 LSU,2020-08-01 13:19:17+00:00
221,BNDTO5 MNURE,2020-06-23 23:57:43+00:00
222,CYOTE2 PNH,2020-05-11 11:44:06+00:00
223,MMUGS4 GUSTI,2020-08-28 18:17:27+00:00
224,IDU9 CWK,2020-09-04 18:12:05+00:00
225,TTT285 FERRA,2020-09-29 20:42:05+00:00
226,CYOTE2 PNH,2020-09-23 12:56:30+00:00
227,INDIE8 TPAKK,2020-05-08 14:01:17+00:00
228,STYCK8 WTSON,2020-05-08 14:02:46+00:00
229,ELD9 ELD,2020-06-25 11:31:15+00:00
230,SBI,2020-02-12 22:17:23+00:00
231,SBI,2020-01-02 21:53:13+00:00
232,LFK2 LFK,2020-06-25 11:34:00+00:00
233,ELMAA3 CVO,2020-06-26 20:52:37+00:00
234,BNDTO5 SAT,2020-01-18 21:56:49+00:00
235,HRPER3 HULZE,2020-05-24 22:41:32+00:00
236,PSX2 SAT,2020-01-11 11:58:22+00:00
237,CYOTE2 PNH,2020-03-24 15:04:47+00:00
238,MMUGS4 GUSTI,2020-02-12 22:18:02+00:00
239,CYOTE2 TXO,2020-02-13 13:00:53+00:00
240,LOA4 LOA,2020-05-08 13:59:37+00:00
241,LFK3 LIT,2020-05-08 13:57:02+00:00
242,CYOTE2 PNH,2020-11-13 13:09:30+00:00
243,SBI,2020-06-25 12:47:40+00:00
244,SBI,2020-08-28 18:19:18+00:00
245,MMUGS4 GUSTI,2020-06-25 12:47:08+00:00
246,JCT1 JCT,2020-09-13 19:18:53+00:00
247,AEX3 AEX,2020-08-28 20:56:21+00:00
248,CYOTE2 TXO,2020-03-20 14:58:04+00:00
249,ELMAA3 CVO,2020-07-18 13:33:14+00:00
250,RITAA6 WWREN,2020-01-18 17:07:08+00:00
251,CYOTE2 TXO,2020-02-25 13:15:52+00:00
252,ELMAA3 CVO,2020-05-27 05:26:52+00:00
253,CYOTE2 TXO,2020-10-01 11:41:10+00:00
