observation_id,status
1641,CLSD
1889,CLSD
2025,CLSD
3339,OPEN
3750,CLSD
4324,CLSD
4744,OPEN
5240,OPEN
5524,CLSD
1646,OPEN
1732,CLSD
1734,OPEN
1805,OPEN
1875,OPEN
2128,OPEN
2168,CLSD
2348,CLSD
2435,OPEN
2513,CLSD
2697,CLSD
2822,OPEN
2952,OPEN
2987,OPEN
3041,OPEN
3143,CLSD
3696,OPEN
3844,OPEN
4188,OPEN
4251,OPEN
4362,OPEN
4428,OPEN
4532,CLSD
4534,CLSD
4631,CLSD
4652,CLSD
4713,CLSD
4928,CLSD
5030,OPEN
5249,OPEN
5547,OPEN
5779,OPEN
5794,OPEN
5815,OPEN
5860,CLSD
5939,OPEN
1663,CLSD
1704,CLSD
1815,CLSD
1931,CLSD
2049,CLSD
2529,CLSD
2857,CLSD
3177,CLSD
3278,CLSD
3798,CLSD
4076,CLSD
4256,CLSD
4278,CLSD
4283,CLSD
4485,CLSD
4878,CLSD
1664,CLSD
1943,CLSD
2059,CLSD
2109,CLSD
2145,CLSD
2184,CLSD
2211,CLSD
2286,CLSD
2668,CLSD
2776,CLSD
2931,CLSD
3581,CLSD
3732,CLSD
3753,CLSD
3908,OPEN
3930,OPEN
4314,OPEN
4375,OPEN
4454,OPEN
4469,OPEN
4979,OPEN
5069,OPEN
5251,OPEN
5425,OPEN
5462,OPEN
5464,OPEN
5475,OPEN
5517,OPEN
1689,OPEN
1798,CLSD
1844,OPEN
2023,CLSD
2306,CLSD
2341,OPEN
2466,CLSD
2833,CLSD
3019,CLSD
3021,OPEN
3802,CLSD
3832,CLSD
3959,CLSD
3976,OPEN
3980,OPEN
4462,OPEN
4513,OPEN
5160,CLSD
5458,CLSD
5477,CLSD
5736,OPEN
1698,CLSD
2468,CLSD
3028,CLSD
4011,CLSD
4706,CLSD
4735,CLSD
1714,CLSD
1945,CLSD
1959,CLSD
2108,CLSD
2315,CLSD
2354,CLSD
2789,CLSD
3010,CLSD
3118,CLSD
3664,CLSD
3691,CLSD
3940,CLSD
4166,CLSD
4174,CLSD
4511,CLSD
4955,CLSD
5138,CLSD
5318,CLSD
5480,CLSD
5657,CLSD
5668,CLSD
5767,CLSD
1741,CLSD
1778,CLSD
1909,CLSD
2051,CLSD
2294,OPEN
2318,OPEN
2720,CLSD
2806,CLSD
3185,OPEN
3351,OPEN
4236,OPEN
4438,OPEN
4613,OPEN
4675,OPEN
4759,OPEN
5150,OPEN
5172,OPEN
5442,OPEN
5546,CLSD
5566,CLSD
5701,OPEN
1757,CLSD
1790,CLSD
2333,CLSD
2338,CLSD
3327,CLSD
5260,CLSD
5363,CLSD
5583,CLSD
5729,CLSD
1784,CLSD
2340,CLSD
2448,CLSD
3182,CLSD
3586,CLSD
3765,CLSD
4128,CLSD
4475,CLSD
5127,CLSD
5312,CLSD
5738,CLSD
5937,CLSD
1785,CLSD
1895,CLSD
2565,CLSD
4389,CLSD
4421,CLSD
5248,OPEN
1807,CLSD
2463,CLSD
3244,CLSD
4589,OPEN
4617,CLSD
5311,CLSD
1823,CLSD
2075,CLSD
2087,CLSD
2092,CLSD
2230,CLSD
2394,CLSD
2544,CLSD
2829,CLSD
2839,CLSD
2901,CLSD
3136,CLSD
3212,CLSD
3639,CLSD
3694,CLSD
4007,OPEN
4056,OPEN
4108,OPEN
4257,OPEN
4326,OPEN
4453,OPEN
4762,OPEN
5007,OPEN
5079,OPEN
5573,OPEN
5685,OPEN
5699,OPEN
5717,OPEN
5905,OPEN
1830,CLSD
2219,CLSD
3197,CLSD
3355,OPEN
3437,CLSD
4927,CLSD
5086,CLSD
5733,OPEN
5879,CLSD
1839,CLSD
2115,CLSD
2201,CLSD
2334,CLSD
